# Revision 1.0,4/14/2019,Initial release,,,,,,,,,,,
# Revision 1.1,4/18/2019,Add the ePAD ground pin,,,,,,,,,,,
,,,,,,,,,,,,,
LCMXO3D-4300,,,,,,,,LCMXO3D-9400,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS
52,PR2B,1,R_GPLLC_FB,Comp_OF_PR2A,-,,,52,PR2B,1,R_GPLLC_FB,Comp_OF_PR2A,-
53,PR2A,1,R_GPLLT_FB,True_OF_PR2B,-,,,53,PR2A,1,R_GPLLT_FB,True_OF_PR2B,-
54,PT28D,0,DONE,Comp_OF_PT28C,-,,,54,PT44D,0,DONE,Comp_OF_PT44C,-
55,PT28C,0,INITN,True_OF_PT28D,-,,,55,PT44C,0,INITN,True_OF_PT44D,-
56,PT25B,0,-,Comp_OF_PT25A,TRUE,,,56,PT39B,0,-,Comp_OF_PT39A,TRUE
57,PT25A,0,-,True_OF_PT25B,TRUE,,,57,PT39A,0,-,True_OF_PT39B,TRUE
58,PT24B,0,-,Comp_OF_PT24A,TRUE,,,58,PT38B,0,-,Comp_OF_PT38A,TRUE
59,PT24A,0,-,True_OF_PT24B,TRUE,,,59,PT38A,0,-,True_OF_PT38B,TRUE
60,VCCIO0,0,-,-,-,,,60,VCCIO0,0,-,-,-
61,PT23D,0,PROGRAMN,Comp_OF_PT23C,-,,,61,PT31D,0,PROGRAMN,Comp_OF_PT31C,-
62,PT23C,0,JTAGENB,True_OF_PT23D,-,,,62,PT31C,0,JTAGENB,True_OF_PT31D,-
63,PT21B,0,-,Comp_OF_PT21A,TRUE,,,63,PT28B,0,-,Comp_OF_PT28A,TRUE
64,VCCIO0,0,-,-,-,,,64,VCCIO0,0,-,-,-
65,PT21A,0,-,True_OF_PT21B,TRUE,,,65,PT28A,0,-,True_OF_PT28B,TRUE
66,PT20D,0,SDA/PCLKC0_0,Comp_OF_PT20C,-,,,66,PT27D,0,SDA/PCLKC0_0,Comp_OF_PT27C,-
67,PT20C,0,SCL/PCLKT0_0,True_OF_PT20D,-,,,67,PT27C,0,SCL/PCLKT0_0,True_OF_PT27D,-
68,PT18B,0,PCLKC0_1,Comp_OF_PT18A,TRUE,,,68,PT23B,0,PCLKC0_1,Comp_OF_PT23A,TRUE
69,PT18A,0,PCLKT0_1,True_OF_PT18B,TRUE,,,69,PT23A,0,PCLKT0_1,True_OF_PT23B,TRUE
70,PT15D,0,TMS,Comp_OF_PT15C,-,,,70,PT22D,0,TMS,Comp_OF_PT22C,-
71,PT15C,0,TCK,True_OF_PT15D,-,,,71,PT22C,0,TCK,True_OF_PT22D,-
72,VCCIO0,0,-,-,-,,,72,VCCIO0,0,-,-,-
73,GND/EPAD,-,-,-,-,,,73,GND/EPAD,-,-,-,-
